iter	Passed	Remaining
0	1626	323703
1	3251	321932
2	4981	327086
3	6683	327501
4	8333	324992
5	10032	324370
6	11624	320495
7	13395	321495
8	15124	320967
9	16816	319507
10	18609	319745
11	20269	317562
12	21952	315771
13	23621	313823
14	25233	311208
15	26836	308616
16	28561	307460
17	30300	306372
18	32001	304859
19	33651	302862
20	35392	301681
21	37120	300339
22	38807	298651
23	40414	296371
24	42196	295374
25	43974	294289
26	45737	293058
27	47517	291890
28	49182	290008
29	50771	287704
30	52508	286254
31	54260	284868
32	55973	283258
33	57733	281874
34	59508	280539
35	61233	278950
36	62999	277538
37	64649	275609
38	66404	274132
39	68145	272582
40	69810	270730
41	71474	268881
42	73122	266983
43	74756	265045
44	76448	263321
45	78167	261690
46	79868	259996
47	81591	258372
48	83221	256459
49	84932	254796
50	86633	253106
51	88257	251195
52	90006	249640
53	91753	248074
54	93525	246566
55	95325	245122
56	96971	243278
57	98699	241643
58	100461	240086
59	102183	238427
60	103974	236926
61	105684	235232
62	107332	233405
63	108978	231579
64	110633	229778
65	112326	228057
66	114089	226475
67	115742	224676
68	117465	223014
69	119222	221414
70	120930	219718
71	122663	218068
72	124369	216368
73	126117	214741
74	127865	213109
75	129589	211435
76	131351	209820
77	133117	208209
78	134866	206567
79	136445	204668
80	138200	203034
81	139864	201268
82	141622	199636
83	143314	197910
84	145054	196250
85	146826	194630
86	148530	192919
87	150177	191134
88	151957	189520
89	153615	187752
90	155278	185993
91	157039	184350
92	158771	182672
93	160510	181000
94	162230	179307
95	163955	177618
96	165660	175907
97	167451	174285
98	169243	172662
99	171028	171028
100	172721	169301
101	174453	167612
102	176248	165981
103	178001	164309
104	179702	162587
105	181419	160881
106	183101	159144
107	184878	157489
108	186628	155809
109	188298	154062
110	189933	152289
111	191665	150594
112	193287	148814
113	194979	147089
114	196751	145424
115	198453	143707
116	200196	142019
117	201890	140297
118	203520	138530
119	205154	136769
120	206893	135079
121	208624	133382
122	210359	131688
123	212092	129991
124	213837	128302
125	215578	126609
126	217208	124852
127	218952	123160
128	220694	121467
129	222308	119704
130	223981	117974
131	225662	116250
132	227400	114555
133	229154	112866
134	230883	111166
135	232589	109453
136	234310	107748
137	236066	106058
138	237779	104349
139	239515	102649
140	241298	100969
141	243040	99270
142	244781	97570
143	246541	95877
144	248222	94153
145	249983	92459
146	251736	90762
147	253483	89061
148	255267	87373
149	256950	85650
150	258543	83898
151	260311	82203
152	261997	80482
153	263726	78775
154	265376	77044
155	267035	75317
156	268703	73593
157	270369	71870
158	271994	70136
159	273643	68410
160	275357	66701
161	277109	65000
162	278745	63273
163	280439	61559
164	282061	59831
165	283787	58125
166	285560	56428
167	287285	54721
168	288989	53009
169	290684	51297
170	292346	49579
171	294018	47863
172	295660	46143
173	297336	44429
174	299106	42729
175	300824	41021
176	302542	39313
177	304303	37610
178	305942	35892
179	307620	34180
180	309359	32474
181	310992	30757
182	312644	29043
183	314218	27323
184	315950	25617
185	317642	23908
186	319431	22206
187	321056	20492
188	322798	18787
189	324705	17089
190	326727	15395
191	328771	13698
192	330755	11996
193	332727	10290
194	334692	8581
195	336780	6873
196	338778	5159
197	340735	3441
198	342557	1721
199	344534	0
